n,knot,M_n_MeV,ratio_n_over_3_pow_3_over_4
3,"T(2,3)",313.8592302862007,1.0
5,"T(2,5)",460.38532045970953,1.4668528946556556
7,"T(2,7)",592.5397559966002,1.8879156603305163
9,"T(2,9)",715.4443303277892,2.2795070569547775
11,"T(2,11)",831.6459524170824,2.649741897533886
13,"T(2,13)",942.6521850075251,3.0034234906774704
