identity,Q_at_theta_2_over_9,target_2_over_3,agreement,value,koide_Q_fit,notes
sum_m_over_sum_sqrt_m_squared_Z3,0.6666666666666669,0.6666666666666666,True,,,
public_helper_koide_PDG_fit_theta_deg,,,,12.733273327332732,0.6666666666666667,reference Brannen fit to PDG (Paper II style)
