sorted_index,A_k,m_MeV,sector,best_pdg,best_pdg_MeV,delta_MeV
0,-0.08813369106565538,3.576064845367782,anti-phase,omega(782),782.7,779.1239351546322
1,-0.19534861886265187,17.56880237611377,anti-phase,omega(782),782.7,765.1311976238862
2,1.3493676162032926,838.2663520645447,co-phase,K*(892),891.7,53.43364793545538
3,1.5228450134801985,1067.659770221811,co-phase,phi(1020),1019.5,48.15977022181096
4,2.4112696802448155,2676.7822150892575,co-phase,K*(1270),1270.0,1406.7822150892575
