n,theta_exact,asymptotic,ratio_theta_over_asymp,pct_error
5,0.06453466697187825,0.015481020379299871,4.168631355732175,76.01131127546392
7,0.030526293528846657,0.007898479785357076,3.8648315066196774,74.1256508003725
9,0.018797985791883413,0.004778092709660454,3.934202815671037,74.5818899824707
11,0.01295028875602578,0.0031985579296074113,4.0487898112307406,75.301261694886
13,0.009222399944853908,0.0022900917720857796,4.0270874980937075,75.16815811741444
