avalanche_size,low_memory_density,high_memory_density
0.10144927536231885,0.8151861549268791,0.22610169491525423
0.30434782608695654,1.2921802158503097,0.8242130750605327
0.5072463768115942,0.7512931860272047,0.7016949152542373
0.7101449275362319,0.4913148987802541,0.5323970944309927
0.9130434782608696,0.31726163867424484,0.4700242130750605
1.1159420289855073,0.2379462290056836,0.2929297820823244
1.318840579710145,0.1718500542818826,0.26285714285714284
1.5217391304347827,0.11787151159077845,0.21273607748184017
1.7246376811594204,0.1035506737339549,0.17375302663438255
1.927536231884058,0.08702663005300465,0.13142857142857142
2.130434782608696,0.07931540966856121,0.11806295399515739
2.3333333333333335,0.05177533686697745,0.0913317191283293
2.536231884057971,0.050673733954914105,0.07907990314769975
2.739130434782609,0.0418609106584073,0.057917675544794184
2.9420289855072466,0.03194648444983715,0.062372881355932205
3.1449275362318843,0.038556101922217256,0.05903147699757869
3.347826086956522,0.02093045532920365,0.04566585956416465
3.5507246376811596,0.02313366115333035,0.05012106537530266
3.7536231884057973,0.025336866977457052,0.031186440677966103
3.956521739130435,0.017625646593013602,0.042324455205811136
4.159420289855072,0.015422440768886903,0.042324455205811136
4.362318840579711,0.008812823296506801,0.026731234866828085
4.565217391304348,0.01432083785682355,0.023389830508474575
4.768115942028986,0.007711220384443451,0.03341404358353511
4.971014492753623,0.0066096174723801,0.020048426150121063
5.173913043478262,0.007711220384443451,0.020048426150121063
5.3768115942028984,0.005508014560316751,0.021162227602905568
5.579710144927537,0.0132192349447602,0.011138014527845037
5.782608695652174,0.0044064116482534004,0.013365617433414042
5.985507246376812,0.00330480873619005,0.014479418886198546
6.188405797101449,0.009914426208570151,0.012251815980629539
6.391304347826088,0.0011016029120633501,0.014479418886198546
6.594202898550725,0.0022032058241267002,0.013365617433414042
6.797101449275363,0.005508014560316751,0.012251815980629539
7.0,0.0022032058241267002,0.007796610169491526
7.202898550724639,0.00330480873619005,0.012251815980629539
7.405797101449275,0.0044064116482534004,0.010024213075060531
7.608695652173914,0.00330480873619005,0.017820823244552055
7.811594202898551,0.0011016029120633501,0.007796610169491526
8.01449275362319,0.0044064116482534004,0.006682808716707021
8.217391304347826,0.0011016029120633549,0.010024213075060575
8.420289855072465,0.0011016029120633453,0.010024213075060488
8.623188405797102,0.0011016029120633453,0.0066828087167069925
8.82608695652174,0.0022032058241267098,0.006682808716707051
9.028985507246377,0.0022032058241267098,0.008910411622276068
9.231884057971016,0.0011016029120633453,0.0033414043583534963
9.434782608695652,0.0011016029120633453,0.00779661016949149
9.637681159420291,0.0033048087361900644,0.002227602905569017
9.840579710144928,0.0,0.005569007263922542
10.043478260869566,0.0011016029120633453,0.0066828087167069925
10.246376811594203,0.004406411648253381,0.005569007263922493
10.449275362318842,0.0,0.0033414043583535253
10.652173913043478,0.0033048087361900644,0.004455205811138034
10.855072463768117,0.0011016029120633453,0.0011138014527844987
11.057971014492754,0.0011016029120633453,0.0
11.260869565217392,0.0,0.0011138014527845084
11.46376811594203,0.0011016029120633549,0.0077966101694915595
11.666666666666668,0.0,0.0033414043583534963
11.869565217391305,0.0011016029120633453,0.004455205811137995
12.072463768115943,0.0011016029120633549,0.0
12.27536231884058,0.0011016029120633549,0.0033414043583535253
12.478260869565219,0.003304808736190036,0.0033414043583534963
12.681159420289855,0.0011016029120633453,0.0011138014527844987
12.884057971014494,0.0022032058241267098,0.0
13.08695652173913,0.0011016029120633549,0.0033414043583535253
13.28985507246377,0.0,0.004455205811137995
13.492753623188406,0.0011016029120633453,0.0011138014527844987
13.695652173913045,0.0,0.0033414043583535253
13.898550724637682,0.0,0.0033414043583535253
