event_id,time,phi_before_release,constraint_after_release,psi_after_release
1,4.17,0.25804400000000227,0.6289716437259724,0.4102633283614702
2,6.94,0.23455964000000273,0.5884134042214115,0.3986306877396377
3,9.59,0.22058348840000272,0.5646129970470392,0.3906808549460745
4,12.17,0.2123448814040026,0.5506315752443143,0.3856387663743866
5,14.71,0.20755891323524248,0.5424369685726416,0.38264153304559806
