T_over_Tc,pair_flux,phase_stiffness,dissipative_constraint,vortex_constraint,transport_index,resistance_proxy
0.03,0.9934,0.9991,0.020000000027048714,0.060000002513400916,12.39083531238086,0.009987347778246015
0.03275574112734864,0.9927937369519833,0.9989270614231981,0.020000000028977886,0.06000000291506409,12.381129760327521,0.009995098595292873
0.03551148225469729,0.9921874739039666,0.9987389346280743,0.020000000031044653,0.06000000337891125,12.371238682306984,0.010003009959867637
0.038267223382045926,0.9915812108559499,0.9985356196146286,0.020000000033258823,0.06000000391424314,12.361162421779731,0.010011082330785744
0.04102296450939457,0.9909749478079332,0.9983171163828609,0.020000000035630915,0.0600000045317,12.350901322005223,0.010019316181951737
0.043778705636743215,0.9903686847599165,0.9980834249327714,0.020000000038172188,0.0600000052434465,12.340455726014481,0.010027712002468893
0.04653444676409186,0.9897624217118998,0.9978345452643599,0.020000000040894708,0.060000006063381135,12.329825976579103,0.010036270296755526
0.049290187891440504,0.9891561586638831,0.9975704773776265,0.020000000043811406,0.06000000700737295,12.319012416176296,0.010044991584668402
0.05204592901878914,0.9885498956158664,0.9972912212725712,0.02000000004693613,0.060000008093529136,12.30801538694942,0.010053876401633743
0.05480167014613779,0.9879436325678497,0.9969967769491939,0.020000000050283715,0.060000009342497156,12.296835230663495,0.01006292529878641
0.05755741127348643,0.987337369519833,0.9966871444074947,0.020000000053870058,0.060000010777805736,12.285472288655143,0.010072138843117757
0.060313152400835075,0.9867311064718163,0.9963623236474737,0.020000000057712186,0.0600000124262494,12.27392690177615,0.010081517617633
0.06306889352818372,0.9861248434237996,0.9960223146691306,0.02000000006182834,0.060000014318321776,12.26219941033007,0.01009106222151866
0.06582463465553237,0.9855185803757829,0.9956671174724657,0.02000000006623807,0.06000001648870347,12.250290154000934,0.010100773270321058
0.06858037578288101,0.9849123173277662,0.9952967320574788,0.020000000070962313,0.06000001897681112,12.238199471773202,0.01011065139613668
0.07133611691022965,0.9843060542797495,0.99491115842417,0.020000000076023493,0.0600000218274147,12.22592770184192,0.010120697247815521
0.07409185803757828,0.9836997912317328,0.9945103965725394,0.020000000081445653,0.06000002509133113,12.213475181511988,0.010130911491178457
0.07684759916492694,0.9830935281837161,0.9940944465025867,0.02000000008725453,0.06000002882620306,12.200842247085287,0.01014129480924997
0.07960334029227559,0.9824872651356994,0.9936633082143121,0.020000000093477712,0.06000003309737258,12.1880292337343,0.010151847902507574
0.08235908141962422,0.9818810020876827,0.9932169817077157,0.02000000010014474,0.060000037978860804,12.175036475360724,0.010162571489149516
0.08511482254697286,0.981274739039666,0.9927554669827974,0.020000000107287277,0.06000004355446526,12.16186430443741,0.01017346630538242
0.0878705636743215,0.9806684759916493,0.9922787640395571,0.020000000114939236,0.060000049918988406,12.148513051831795,0.010184533105730802
