n,Hopf_Q,M_n_MeV,E_ratio_to_trefoil
3,3,313.8337711696426,1.0
5,5,460.3479756808909,1.4668528946556556
7,7,592.491691331752,1.8879156603305163
9,9,715.3862960919312,2.279507056954778
