quantity,fitted_Paper_II_refined,derived_Paper_V_Q_over_3,delta_arcmin,derived_Paper_V_pi_minus_Q
theta_deg,12.732305177117995,12.732395447351626,0.005416214017870402,
phi_c_deg,141.80308446864603,,0.01624864205382437,141.80281365794514
M_MeV,313.8337711696426,313.8592302862007,,
