n,theta_rad,theta_deg,sum_m_k_MeV,two_n_Mn_MeV,sum_rule_ok,abs_diff_MeV
3,0.1,5.729577951308233,1883.1553817172041,1883.1553817172044,True,2.2737367544323206e-13
3,0.2222222222222222,12.732395447351626,1883.1553817172044,1883.1553817172044,True,0.0
3,0.25,14.32394487827058,1883.1553817172046,1883.1553817172044,True,2.2737367544323206e-13
3,,,1883.02937445,1883.1553817172044,True,0.12600726720438615
