radius_over_M,J_over_Jcrit,redshift_proxy,entropy_correction_proxy
1.02,1.12,100.0,0.0189345622730525
1.0418808777429467,1.12,100.0,0.018532094648779765
1.0637617554858934,1.12,100.0,0.01814150961918364
1.0856426332288402,1.12,100.0,0.01776233276080535
1.107523510971787,1.12,100.0,0.017394115934079614
1.1294043887147336,1.12,100.0,0.017036435292935543
1.1512852664576803,1.12,100.0,0.016688889486023217
1.173166144200627,1.12,100.0,0.016351098027707546
1.1950470219435738,1.12,100.0,0.016022699819810783
1.2169278996865205,1.12,100.0,0.015703351807512065
1.2388087774294672,1.12,100.0,0.015392727754893545
1.2606896551724138,1.12,100.0,0.015090517127412469
1.2825705329153605,1.12,100.0,0.014796424070121366
1.3044514106583072,1.12,100.0,0.014510166471792858
1.3263322884012538,1.12,100.0,0.014231475106261712
1.3482131661442007,1.12,100.0,0.01396009284330165
1.3700940438871474,1.12,100.0,0.013695773922229301
1.391974921630094,1.12,100.0,0.013438283282191587
1.413855799373041,1.12,100.0,0.013187395943760942
1.4357366771159876,1.12,100.0,0.012942896437048643
1.4576175548589343,1.12,100.0,0.01270457827206082
1.479498432601881,1.12,100.0,0.012472243447474848
1.5013793103448276,1.12,100.0,0.012245701994412973
1.5232601880877743,1.12,100.0,0.012024771552142747
1.545141065830721,1.12,100.0,0.011809276972946108
1.5670219435736676,1.12,100.0,0.011599049953675578
1.5889028213166145,1.12,100.0,0.011393928691761705
1.6107836990595612,1.12,100.0,0.011193757563654408
1.6326645768025079,1.12,100.0,0.01099838682387534
1.6545454545454548,1.12,100.0,0.010807672323032152
1.6764263322884014,1.12,100.0,0.010621475243300305
1.698307210031348,1.12,100.0,0.01043966185001695
1.7201880877742948,1.12,100.0,0.010262103258155504
1.7420689655172414,1.12,100.0,0.010088675212560986
1.763949843260188,1.12,100.0,0.009919257880926244
1.7858307210031348,1.12,100.0,0.00975373565857905
1.8077115987460817,1.12,100.0,0.009591996984231212
1.8295924764890283,1.12,100.0,0.009433934165913722
1.851473354231975,1.12,100.0,0.009279443216387812
1.873354231974922,1.12,100.0,0.00912842369738149
1.8952351097178686,1.12,100.0,0.008980778572054742
1.9171159874608152,1.12,100.0,0.008836414065145511
1.938996865203762,1.12,100.0,0.008695239530292677
1.9608777429467086,1.098315268251063,100.0,0.008557167324072348
1.9827586206896552,1.0759136847525639,100.0,0.008422112686320303
2.004639498432602,1.054447133392259,20.786560106979753,0.008289993626346482
2.026520376175549,1.033853664089453,8.741493670072815,0.008160730814677563
