baryon,history,residual
0.00034850510172827114,0.7779789262596847,0.315225302417373
0.0006683744975035216,0.17245374206926198,0.04589311661645844
2.812939188670981e-09,2.5801318567883914e-05,-0.03116690353775705
4.0521096172160907e-10,4.5195030381743725e-07,-0.0073739403980607856
0.0005243086793801653,0.03125138873544057,-0.10701990981253003
0.26740561015412734,0.8397359160644343,0.4071736014682388
0.278775924960113,0.028977737527156728,-0.188244651992635
4.5276111118533135e-05,0.05780005513515453,-0.012788651276345132
0.0023395193139036713,0.000652962410514902,-0.0678408355144666
1.0118014017919177e-13,4.8231160500498496e-08,-0.004847511356726982
1.2971874163597417,0.5177742554133486,-0.03518999380967691
4.472996729915473e-06,0.10251358847553717,0.048233095173971646
0.013814757886703085,0.0021336622540828873,-0.09147819214966763
4.78103965234135e-13,0.02392404635354042,0.00022690410886749487
1.30190316389936e-05,0.012177187152945027,-0.04674757529373784
2.0318438630782744e-08,3.60925154781814e-06,-0.04688890166620114
1.99291975041279e-06,0.0006416971396898562,-0.037569564549313275
0.001200828836941462,0.003123779601466015,-0.08281640791255179
0.5652283771952982,1.051209464198262,0.42603596921069053
0.0001035494556219748,0.00021725956988736703,-0.04063252521121887
2.6257003467879777e-06,0.034816786706043885,0.004790148814120411
0.0751673803410808,0.2992447878529189,0.09544528269113786
0.00024549727358208506,0.015231981665584824,-0.11403157998810584
5.5476891533178425e-06,0.0003892728443087678,-0.03399028508925116
9.152723747276223e-05,0.0004946386727978115,-0.0695747971804648
5.5035832019705365e-09,0.00046770531984740134,-0.015265142269463489
2.1567505654261816e-09,2.952089992904734e-06,-0.01002596425011182
0.003826923846477605,0.0033796659565728526,-0.06887000640706882
7.57447589769481e-05,0.06985348421307315,-0.008977028475614927
1.0584245743341383e-10,0.0615460200892596,0.004216238131871643
0.13616426409929558,0.7413741187782011,0.3433017233566067
0.5112978028345484,0.4219691843664411,-0.02106043621029341
1.1299306486067925e-08,0.0001785759336095699,-0.028687221837344647
4.594878773088248e-05,0.029411552184819775,-0.05112708568998685
0.001108860539301678,0.41501728740812827,0.25082289779826117
4.25164621801458e-08,0.00011797641829104057,-0.0437927694152323
0.15857495938815452,0.9826804773668907,0.471947236675251
1.3954300384213806e-05,0.0012547944809483235,-0.02782383645606929
0.0120699209939246,0.0016115823862299455,-0.09316020598564854
5.509197507388241e-05,0.0840617029774552,0.010629911797574075
1.225734348278637e-05,0.3271436003557667,0.06685092582974804
1.6647261866042296e-07,6.649535520255429e-05,-0.06042253094727166
0.00046808126596405413,0.08230887069823689,0.01348759282360397
2.729004141995124e-10,0.026824031909792503,-0.009722889955268306
8.906560373042284e-07,0.006025532827267753,-0.034152761824809634
0.08951988233100466,0.7399758328732912,0.38643497146749767
1.260812372622904e-05,0.5378984441055467,0.1779569184271173
0.00027857841323700573,0.0024409219552804333,-0.04408746652794579
0.3049474300179549,0.07930872484905085,-0.15881977523377763
2.2932303296240096e-08,0.08495306624163518,0.01863514653600248
6.4229282968801594e-09,0.00011835265649017613,-0.02736048408199785
0.08848853526174986,1.0358411024242762,0.4150935278472363
0.0011832271836830016,0.005742287545707856,-0.14603915199319592
0.624734015210934,1.0857636776003858,0.44109208573968184
0.008441019815539682,0.018819895751156782,-0.0886712958075822
0.0009541832800541344,0.4441924468662697,0.24598902364174136
6.210973561663587e-07,0.003679642929566564,-0.03442167592821615
0.00030750398601820034,0.3167091991043625,0.16994725315996254
5.070907235880361e-07,9.024895300330565e-06,-0.019932038855729358
3.7271142703294225e-05,0.3618226552360824,0.21809795292364378
0.00040927183319865954,0.8066402351734918,0.3173940339752064
0.00021150297770267793,0.24843434938480113,0.1339112303214666
0.00016199617222813643,0.11306358464891667,0.04441088267686112
0.019411504813119877,0.003729235352790845,-0.1067295872743548
0.014565261217363323,0.4081798860014749,0.16291172246237112
5.792769274835006e-13,0.032611340644531216,0.0002981831682871694
6.949031797696175e-07,0.0004600772553675496,-0.033520087483035615
1.0361646633835009e-10,4.7642067170444554e-06,-0.005327445612936035
0.0003104353550584606,0.22223488042563452,-0.004733736860609697
0.008049136476763032,0.001256252876524907,-0.087062735361407
7.294390880409229e-06,0.12715948212813122,-0.009946414811708479
0.00010840621156479465,0.12447217983502125,0.03780357421806805
1.0957167759175655e-05,0.016263612539531284,-0.04545058020970819
2.12254716326802e-05,0.3653953908749934,0.20657147439719087
8.93469840310983e-05,0.0020307381577334294,-0.05769117877588605
5.11592121442043e-06,5.04372062211685e-05,-0.07214490361632124
1.1546471353911238e-07,1.4837376594458372e-05,-0.041026110738598645
5.874664712842842e-10,9.231300541630706e-06,-0.02608181411088771
9.748639366751789e-07,9.27637130295638e-06,-0.021423062346380514
