n,theta_deg,brentq_bisect_ok,theta_diff,residual_abs
4,4.936631966666516,True,8.326672684688674e-17,2.7755575615628914e-16
6,2.459476947485457,True,6.938893903907228e-18,5.551115123125783e-17
8,1.4539834454305103,True,1.0408340855860843e-17,8.326672684688674e-17
10,0.881119788799531,True,3.469446951953614e-18,5.551115123125783e-17
