n,m_min,M_theta2,ratio_mmin_over_Mtheta2,k_star,A_star,m_pred,pred_over_actual
5,3.576064845367782,1.9173774440126186,1.865081315384582,2,-0.19534861886265187,17.56880237611377,4.912886968163156
7,38.48174768035011,0.552160895299188,69.69299711001592,3,-0.2922969263591815,50.62511134940973,1.3155616467819722
9,52.154642828037204,0.2528124633916166,206.29775181315952,4,-0.33778311154601237,81.63035971734952,1.5651599798410816
11,3.006308872427067,0.1394753251025724,21.55441380198382,5,-0.36197383205904643,108.96645673540674,36.24592859862581
13,2.3434911588552314,0.08017507648994315,29.22967163179682,5,-0.06715765247107952,4.251503021269408,1.8141749778762633
4,65.13532345940908,2.891047287098084,22.53000971312001,2,-0.4089675108346331,65.13532345940908,1.0
6,30.654622529950082,0.9726299752877164,31.517250453731954,3,-0.4129108199330147,89.99532065077167,2.9357830311837874
10,13.328838428756061,0.18311276037855417,72.79033094799607,4,-0.1567704029691923,19.029269361352632,1.4276764973231486
