n,theta_deg,M_n,Sigma_n,n_plus,n_minus,sum_rule_ok,brentq_bisect_ok,theta_diff,residual_abs
4,4.936631966666516,389.43856637117767,3115.5085309694214,3,1,True,True,8.326672684688674e-17,2.7755575615628914e-16
6,2.459476947485457,527.8462032839125,6334.1544394069515,5,1,True,True,6.938893903907228e-18,5.551115123125783e-17
8,1.4539834454305103,654.9549888461382,10479.27982153821,6,2,True,True,1.0408340855860843e-17,8.326672684688674e-17
10,0.881119788799531,774.2727312200047,15485.454624400092,7,3,True,True,3.469446951953614e-18,5.551115123125783e-17
