kappa,kappa_rel,chi_eq,alpha
105625.7956050966,-0.09999999999999998,130.51393345905194,0.007662017176991641
106104.82415659363,-0.0959183673469387,130.78747118214096,0.007645992318387681
106583.85270809068,-0.09183673469387743,131.06035303942002,0.007630072533828918
107062.88125958771,-0.08775510204081627,131.33258354993666,0.007614256667841835
107541.90981108476,-0.083673469387755,131.60416717589453,0.007598543583072546
108020.93836258179,-0.07959183673469383,131.87510834397045,0.007582932158748984
108499.96691407882,-0.07551020408163267,132.14541140978702,0.00756742129243496
108978.99546557586,-0.07142857142857129,132.41508070765053,0.007552009896877427
109458.0240170729,-0.06734693877551012,132.68412049370767,0.007536696902983379
109937.05256856992,-0.06326530612244896,132.95253500278898,0.0075214812562921255
110416.08112006697,-0.05918367346938769,133.22032841288126,0.007506361918736335
110895.109671564,-0.055102040816326525,133.48750485223388,0.007491337867967237
111374.13822306105,-0.05102040816326514,133.75406840646338,0.007476408096695152
111853.16677455808,-0.04693877551020398,134.0200231185537,0.007461571612440352
112332.19532605511,-0.042857142857142816,134.28537298175115,0.007446827437683001
112811.22387755215,-0.03877551020408154,134.55012196088018,0.007432174608438819
113290.25242904919,-0.03469387755102038,134.81427395681646,0.007417612175994945
113769.28098054623,-0.030612244897959107,135.07783284911932,0.0074031392043207465
114248.30953204326,-0.026530612244897944,135.34080246761027,0.007388754771417288
114727.3380835403,-0.02244897959183667,135.603186592373,0.007374457969089091
115206.36663503734,-0.018367346938775397,135.8649889750692,0.0073602479015657
115685.39518653437,-0.014285714285714235,136.1262133247282,0.007346123686071443
116164.42373803142,-0.010204081632652962,136.3868633077468,0.00733208445261751
116643.45228952845,-0.006122448979591799,136.6469425621002,0.007318129343037021
117122.48084102548,-0.0020408163265306367,136.90645468313113,0.00730425751155774
117601.50939252252,0.0020408163265306367,137.16540321644396,0.007290468124983544
118080.53794401955,0.00612244897959191,137.42379169343286,0.007276760360613653
118559.5664955166,0.010204081632653184,137.68162358864805,0.007263133408331268
119038.59504701363,0.014285714285714457,137.93890235532388,0.007249586468536982
119517.62359851066,0.01836734693877551,138.19563141116737,0.00723611875273209
119996.6521500077,0.022448979591836782,138.4518141241477,0.00722272948408834
120475.68070150474,0.026530612244898055,138.70745384091782,0.007209417895788714
120954.70925300177,0.030612244897959107,138.9625538726035,0.007196183231611938
121433.73780449881,0.0346938775510206,139.2171174948034,0.007183024745770414
121912.76635599585,0.038775510204081653,139.47114795469463,0.007169941702385907
122391.79490749288,0.04285714285714293,139.72464847103248,0.007156933375340133
122870.82345898992,0.0469387755102042,139.97762220572895,0.007143999049578601
123349.85201048695,0.05102040816326525,140.23007232780145,0.00713113801768855
123828.880561984,0.055102040816326525,140.48200194231856,0.007118349583390737
124307.90911348103,0.0591836734693878,140.73341414013805,0.007105633058857155
124786.93766497806,0.06326530612244907,140.98431197659062,0.007092987765660356
125265.9662164751,0.06734693877551035,141.23469847858536,0.0070804130342772996
125744.99476797214,0.0714285714285714,141.48457665171486,0.0070679082036033325
126224.02331946918,0.07551020408163267,141.733949451834,0.007055472622244495
126703.05187096621,0.07959183673469394,141.9828198347975,0.0070431056459051775
127182.08042246324,0.083673469387755,142.23119069606423,0.0070308066402742396
127661.10897396029,0.08775510204081649,142.47906494175078,0.007018574977375284
128140.13752545732,0.09183673469387754,142.7264454033674,0.007006410039666038
128619.16607695437,0.09591836734693882,142.97333493729292,0.006994311215014973
129098.1946284514,0.10000000000000009,143.21973632885187,0.0069822779013072956
