theta_deg,P_direct,P_formula,abs_diff
0.0,0.20710678118654718,0.20710678118654746,2.7755575615628914e-16
10.909090909090908,0.09485607776206813,0.09485607776206806,6.938893903907228e-17
21.818181818181817,-0.20625722729966783,-0.20625722729966833,4.996003610813204e-16
32.72727272727273,-0.6006317872065057,-0.6006317872065067,9.992007221626409e-16
43.63636363636363,-0.9630564657055097,-0.9630564657055105,7.771561172376096e-16
54.54545454545454,-1.178463988143656,-1.178463988143656,0.0
65.45454545454545,-1.178463988143657,-1.1784639881436563,6.661338147750939e-16
76.36363636363636,-0.9630564657055112,-0.9630564657055107,4.440892098500626e-16
87.27272727272727,-0.6006317872065068,-0.6006317872065068,0.0
98.18181818181817,-0.20625722729966905,-0.2062572272996686,4.440892098500626e-16
109.09090909090908,0.09485607776206724,0.09485607776206773,4.85722573273506e-16
119.99999999999999,0.2071067811865472,0.20710678118654746,2.498001805406602e-16
